tidspunkt,symbol,handling,pris,mengde_coin,beløp_usdt,fee_usdt,grunn,gevinst_usdt,gevinst_prosent,dca_level
2026-04-02 00:32:34,BTCUSDT,VENTER,68218.85,0.0,0.0,0.0,"Holder 1 pos – RSI=51.0, endring=2.02%",0.0,0.0,0
2026-04-02 00:32:34,ETHUSDT,VENTER,2138.49,0.0,0.0,0.0,Ingen signal – RSI=46.6 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 00:32:34,SOLUSDT,VENTER,81.14,0.0,0.0,0.0,Ingen signal – RSI=32.1 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 00:47:37,BTCUSDT,VENTER,68501.17,0.0,0.0,0.0,"Holder 1 pos – RSI=54.3, endring=2.44%",0.0,0.0,0
2026-04-02 00:47:37,ETHUSDT,VENTER,2152.4,0.0,0.0,0.0,Ingen signal – RSI=59.4 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 00:47:37,SOLUSDT,VENTER,81.59,0.0,0.0,0.0,Ingen signal – RSI=41.0 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:02:41,BTCUSDT,VENTER,68602.0,0.0,0.0,0.0,"Holder 1 pos – RSI=55.5, endring=2.60%",0.0,0.0,0
2026-04-02 01:02:41,ETHUSDT,VENTER,2156.19,0.0,0.0,0.0,Ingen signal – RSI=62.1 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:02:41,SOLUSDT,VENTER,81.63,0.0,0.0,0.0,Ingen signal – RSI=41.8 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:17:43,BTCUSDT,VENTER,68140.06,0.0,0.0,0.0,"Holder 1 pos – RSI=49.3, endring=1.90%",0.0,0.0,0
2026-04-02 01:17:43,ETHUSDT,VENTER,2140.59,0.0,0.0,0.0,Ingen signal – RSI=48.1 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:17:43,SOLUSDT,VENTER,80.9,0.0,0.0,0.0,Ingen signal – RSI=33.5 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:32:46,BTCUSDT,VENTER,67606.5,0.0,0.0,0.0,"Holder 1 pos – RSI=43.3, endring=1.11%",0.0,0.0,0
2026-04-02 01:32:46,ETHUSDT,VENTER,2114.96,0.0,0.0,0.0,Ingen signal – RSI=34.3 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:32:46,SOLUSDT,VENTER,79.87,0.0,0.0,0.0,Ingen signal – RSI=25.8 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:47:49,BTCUSDT,VENTER,67216.53,0.0,0.0,0.0,"Holder 1 pos – RSI=39.5, endring=0.52%",0.0,0.0,0
2026-04-02 01:47:49,ETHUSDT,VENTER,2093.14,0.0,0.0,0.0,Ingen signal – RSI=27.2 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 01:47:49,SOLUSDT,VENTER,79.2,0.0,0.0,0.0,Ingen signal – RSI=22.2 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 02:02:53,BTCUSDT,VENTER,67343.08,0.0,0.0,0.0,"Holder 1 pos – RSI=41.3, endring=0.71%",0.0,0.0,0
2026-04-02 02:02:53,ETHUSDT,VENTER,2099.86,0.0,0.0,0.0,Ingen signal – RSI=31.9 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 02:02:53,SOLUSDT,VENTER,79.34,0.0,0.0,0.0,Ingen signal – RSI=24.6 (aktiv: RSI_EMA),0.0,0.0,0
2026-04-02 02:17:56,BTCUSDT,VENTER,66860.55,0.0,0.0,0.0,"Holder 1 pos – RSI=36.8, endring=-0.01%",0.0,0.0,0
